Loi,vods
c:vabb:268027,0505 Law and legal studies
c:vabb:268031,060304 Theology and religious studies
c:vabb:268032,0506 Political sciences
c:vabb:268032,0504 Sociology and anthropology
c:vabb:268033,0101 Mathematical sciences
c:vabb:268034,0106 Biological sciences
c:vabb:268041,0502 Economics and business
c:vabb:268043,0505 Law and legal studies
c:vabb:268047,0505 Law and legal studies
c:vabb:268051,0399 Other medical and health sciences
c:vabb:268078,0505 Law and legal studies
c:vabb:268080,0503 Pedagogical and educational sciences
c:vabb:268082,0399 Other medical and health sciences
c:vabb:268083,0303 Health sciences
c:vabb:268084,0507 Social and economic geography
c:vabb:268085,0504 Sociology and anthropology
c:vabb:268106,060203 Literary studies
c:vabb:268120,060203 Literary studies
c:vabb:268121,0502 Economics and business
c:vabb:268123,0502 Economics and business
c:vabb:268124,0504 Sociology and anthropology
c:vabb:268126,0508 	Media and communications
c:vabb:268129,0306 Translational sciences
c:vabb:268131,0504 Sociology and anthropology
c:vabb:268133,0506 Political sciences
c:vabb:268135,060203 Literary studies
c:vabb:268136,0507 Social and economic geography
c:vabb:268137,0502 Economics and business
c:vabb:268138,060203 Literary studies
c:vabb:268139,060203 Literary studies
c:vabb:268143,060304 Theology and religious studies
c:vabb:268144,060304 Theology and religious studies
c:vabb:268151,060202 Linguistics
c:vabb:268152,0101 Mathematical sciences
c:vabb:268159,0505 Law and legal studies
c:vabb:268160,0505 Law and legal studies
c:vabb:268161,0505 Law and legal studies
c:vabb:268167,060203 Literary studies
c:vabb:268172,060202 Linguistics
c:vabb:268175,060202 Linguistics
c:vabb:268176,060304 Theology and religious studies
c:vabb:268176,0504 Sociology and anthropology
c:vabb:268177,060202 Linguistics
c:vabb:268196,060202 Linguistics
c:vabb:268198,0504 Sociology and anthropology
c:vabb:268200,0504 Sociology and anthropology
c:vabb:268201,0504 Sociology and anthropology
c:vabb:268208,060104 History
c:vabb:268210,060203 Literary studies
c:vabb:268211,0504 Sociology and anthropology
c:vabb:268212,0502 Economics and business
c:vabb:268213,0303 Health sciences
c:vabb:268221,060104 History
c:vabb:268224,0299 Other engineering and technology
c:vabb:268224,0506 Political sciences
c:vabb:268224,0504 Sociology and anthropology
c:vabb:268229,0504 Sociology and anthropology
c:vabb:268231,0504 Sociology and anthropology
c:vabb:268233,060104 History
c:vabb:268246,0303 Health sciences
c:vabb:268247,0303 Health sciences
c:vabb:268274,060202 Linguistics
c:vabb:268287,0508 	Media and communications
c:vabb:268291,0505 Law and legal studies
c:vabb:268292,0505 Law and legal studies
c:vabb:268295,0299 Other engineering and technology
c:vabb:268296,0102 Information and computing sciences
c:vabb:268303,0504 Sociology and anthropology
c:vabb:268304,0504 Sociology and anthropology
c:vabb:268305,0504 Sociology and anthropology
c:vabb:268306,0504 Sociology and anthropology
c:vabb:268307,0504 Sociology and anthropology
c:vabb:268308,0504 Sociology and anthropology
c:vabb:268315,0303 Health sciences
c:vabb:268317,0502 Economics and business
c:vabb:268321,060104 History
c:vabb:268322,060104 History
c:vabb:268325,0506 Political sciences
c:vabb:268336,060203 Literary studies
c:vabb:268337,060203 Literary studies
c:vabb:268338,060203 Literary studies
c:vabb:268344,0505 Law and legal studies
c:vabb:268357,060104 History
c:vabb:268358,0302 Clinical sciences
c:vabb:268363,0505 Law and legal studies
c:vabb:268365,0502 Economics and business
c:vabb:268379,0502 Economics and business
c:vabb:268389,060203 Literary studies
c:vabb:268390,060203 Literary studies
c:vabb:268394,060203 Literary studies
c:vabb:268400,0505 Law and legal studies
c:vabb:268403,0505 Law and legal studies
c:vabb:268405,060202 Linguistics
c:vabb:268407,060304 Theology and religious studies
c:vabb:268420,0505 Law and legal studies
c:vabb:268421,0505 Law and legal studies
c:vabb:268423,060203 Literary studies
c:vabb:268424,060203 Literary studies
c:vabb:268427,0303 Health sciences
c:vabb:268428,0303 Health sciences
c:vabb:268442,0508 	Media and communications
c:vabb:268444,060203 Literary studies
c:vabb:268458,0505 Law and legal studies
c:vabb:268468,060202 Linguistics
c:vabb:268468,060203 Literary studies
c:vabb:268478,0506 Political sciences
c:vabb:268478,0504 Sociology and anthropology
c:vabb:268479,060202 Linguistics
c:vabb:268482,0303 Health sciences
c:vabb:268484,060202 Linguistics
c:vabb:268484,060203 Literary studies
c:vabb:268486,060202 Linguistics
c:vabb:268487,0504 Sociology and anthropology
c:vabb:268488,060202 Linguistics
c:vabb:268489,0505 Law and legal studies
c:vabb:268490,0699 Other humanities and the arts
c:vabb:268491,0505 Law and legal studies
c:vabb:268518,0505 Law and legal studies
c:vabb:268521,060104 History
c:vabb:268522,0504 Sociology and anthropology
c:vabb:268524,060203 Literary studies
c:vabb:268525,060203 Literary studies
c:vabb:268526,060203 Literary studies
c:vabb:268531,0505 Law and legal studies
c:vabb:268531,060302 Philosophy
c:vabb:268531,0506 Political sciences
c:vabb:268538,060202 Linguistics
c:vabb:268545,0506 Political sciences
c:vabb:268545,0504 Sociology and anthropology
c:vabb:268546,0502 Economics and business
c:vabb:268547,0502 Economics and business
c:vabb:268549,0506 Political sciences
c:vabb:268556,0505 Law and legal studies
c:vabb:268558,0502 Economics and business
c:vabb:268560,0507 Social and economic geography
c:vabb:268561,0503 Pedagogical and educational sciences
c:vabb:268565,0502 Economics and business
c:vabb:268571,0505 Law and legal studies
c:vabb:268574,0102 Information and computing sciences
c:vabb:268581,0303 Health sciences
c:vabb:268588,060104 History
c:vabb:268605,0506 Political sciences
c:vabb:268612,0505 Law and legal studies
c:vabb:268618,060104 History
c:vabb:268628,0508 	Media and communications
c:vabb:268641,0504 Sociology and anthropology
c:vabb:268645,0507 Social and economic geography
c:vabb:268647,0504 Sociology and anthropology
c:vabb:268652,0504 Sociology and anthropology
c:vabb:268656,060304 Theology and religious studies
c:vabb:268657,0502 Economics and business
c:vabb:268657,0505 Law and legal studies
c:vabb:268658,060203 Literary studies
c:vabb:268661,060202 Linguistics
c:vabb:268662,0505 Law and legal studies
c:vabb:268664,060104 History
c:vabb:268666,0508 	Media and communications
c:vabb:268667,0505 Law and legal studies
c:vabb:268668,0505 Law and legal studies
c:vabb:268669,0505 Law and legal studies
c:vabb:268704,060202 Linguistics
c:vabb:268705,060202 Linguistics
c:vabb:268711,0502 Economics and business
c:vabb:268713,0505 Law and legal studies
c:vabb:268739,0599 Other social sciences
c:vabb:268741,0102 Information and computing sciences
c:vabb:268741,0508 	Media and communications
c:vabb:268742,0508 	Media and communications
c:vabb:268743,0508 	Media and communications
c:vabb:268747,0102 Information and computing sciences
c:vabb:268748,0106 Biological sciences
c:vabb:268750,0504 Sociology and anthropology
c:vabb:268752,0502 Economics and business
c:vabb:268753,0505 Law and legal studies
c:vabb:268754,0505 Law and legal studies
